Vehicle Name,Price
Car 2002 Red,"KSh 500,000"
Toyota Corolla 1988 White,"KSh 265,000"
Honda Civic 2001 White,"KSh 315,000"
Peugeot 504 1980 Brown,"KSh 215,000"
Suzuki Every Wagon 2012 White,"KSh 380,000"
Toyota Corsa 1999 White,"KSh 350,000"
Mercedes-Benz C180 1996 Blue,"KSh 450,000"
Toyota Corolla Hatchback 2001 White,"KSh 299,000"
Toyota Corolla 1991 White,"KSh 258,750"
Daihatsu Boon 2004 White,"KSh 350,000"
Nissan Pick-Up 1997 White,"KSh 380,000"
Toyota Corolla 1995 White,"KSh 190,000"
Land Rover Defender 1989 Green,"KSh 280,000"
Nissan Hardbody 1992 Blue,"KSh 480,000"
BMW 518i 1995 Blue,"KSh 500,000"
Mitsubishi Lancer 1997 White,"KSh 367,500"
Volkswagen Polo 2000 Green,"KSh 260,000"
Suzuki Maruti Omni 2010 White,"KSh 450,000"
Nissan Pick-Up 2.5D 1998 White,"KSh 440,000"
Volkswagen Golf GL 1996 Red,"KSh 155,000"
